name,room_type,price,minimum_nights,number_of_reviews,reviews_per_month
East Austin  6BR near Downtown,Entire home/apt,2200,3,2,0.02
SOCO Cottage near downtown License # OL2018000335,Entire home/apt,254,2,30,0.76
Camp EZ in SxSAustin7,Entire home/apt,15,3,16,0.17
CampEZ in SxSAustin8,Entire home/apt,15,3,13,0.14
HOT East Downtown House - Walk SXSW & Rainey St,Entire home/apt,400,3,18,0.22
The Forest Retreat,Entire home/apt,158,3,35,0.48
Peaceful Creekside Retreat in Central ATX,Entire home/apt,60,30,146,2.31
Charming 3/2 in the Heart of Austin,Entire home/apt,116,30,6,0.06
Entire Guest Suite in SoCo w/ private entry,Entire home/apt,86,3,57,0.66
Private Studio in Modern Crash Pad,Entire home/apt,85,2,412,4.45
Hyde Park Treehouse Apartment,Entire home/apt,115,3,2,0.1
Private Bedroom for SXSW,Private room,200,1,1,0.01
Furnished Modern Home Soco SXSW,Private room,260,5,3,0.04
Spectacular secluded  wooded valley retreat,Entire home/apt,346,1,72,1.73
East Austin Lux Home! 4 Blks to E 6th St  Walkable,Entire home/apt,138,4,137,1.71
SXSW Hi-Rise Apartment!!!!,Private room,350,1,0,
Chic Barton Creek Waterfront Estate,Entire home/apt,725,365,0,
Historic Hyde Park Home -  ACL Fest,Private room,480,2,0,
♥ of Downtown/Free Parking/Sleep 10 in 5 beds!!!♥♥,Entire home/apt,232,180,109,1.2
Casa de Desai East Austin Private Bedroom,Private room,45,30,17,0.18
SoCo anyone? 2 miles south for SXSW,Entire home/apt,480,1,0,
Modern Townhome  Heart of SoLa  Room A,Private room,117,2,164,1.79
Small  clean Casita in SxSAustin,Entire home/apt,49,2,5,0.06
Carbon Neutral Oasis in Austin,Private room,96,2,200,2.48
Fantastic Apartment - Right in the Heart of SoCo,Entire home/apt,116,3,269,3.47
Mid-Century Modern Revivalist Cottage,Entire home/apt,300,2,57,1.06
The Extra Room North Lamar,Private room,69,2,23,0.29
Eastside Private Studio,Entire home/apt,86,2,347,5.07
Backyard Cottage in Central Austin,Entire home/apt,90,1,951,10.42
Blue Room Downtown Mansion,Private room,149,3,89,0.97
Central | Private Pool | 5 bed/4 bath house.,Entire home/apt,886,2,12,0.35
SXSW Casita East Austin near Downtown & Airport!,Entire home/apt,220,3,3,0.09
Spacious 3/2 House  10min to Dwntwn,Entire home/apt,198,2,146,1.69
Downtown Austin Condo,Entire home/apt,74,1,677,7.41
Modern Townhome  Heart of SoLa  Room B,Private room,122,2,113,1.24
Room available in Gorgeous Condo,Private room,519,360,0,
Immaculate suite 10 minutes to downtown Austin,Private room,200,1,202,2.23
Spacious  Contemporary  Comfy Home,Entire home/apt,399,2,71,0.84
Welcoming Austin Home with Tons of Outdoor Space,Entire home/apt,400,30,201,2.31
SXSW Craftsman Cottage,Entire home/apt,1280,3,4,0.05
Casa de Desai Large Master Bedroom!,Private room,105,30,17,0.19
Entire home/apt in Austin for SXSW,Entire home/apt,240,1,0,
Quirky East Austin Townhome Steps From Rainey Street,Entire home/apt,286,2,229,2.56
The Convention Center's Grand Loft,Entire home/apt,175,2,146,1.67
The Cosmo at the Convention Center,Entire home/apt,233,2,143,1.69
Downtown Poolside Getaway On 4th St,Entire home/apt,119,2,151,1.71
Duplex set up as a Corporate Suite,Entire home/apt,65,10,24,0.43
Designer Treehouse Retreat,Entire home/apt,80,30,151,1.74
PERFECT FOR ACL  3 bedroom  2 bath  2 living rooms,Entire home/apt,250,2,0,
Upscale Minutes From Downtown/UT,Private room,100,1,98,1.12
Private & Professionally Cleaned - East Downtown Bungalow,Entire home/apt,312,1,451,5.08
Great Cottage Next to Downtown,Entire home/apt,250,30,0,
Zilker Barn a Central Austin Retreat,Entire home/apt,301,3,136,1.58
Private Above Garage Apt in Central Austin!,Entire home/apt,90,2,258,2.95
Trendy Travis Heights Flat,Entire home/apt,96,1,453,5.1
Spacious Family Vacation Compound in Zilker with Two Houses,Entire home/apt,625,3,31,0.39
Private & Professionally Cleaned - East Downtown Cottage,Entire home/apt,103,1,571,6.49
The Graeber by Lodgewell>>6th Street + Pool = OMG!,Entire home/apt,680,1,59,0.78
Vacation Home w/ Whole Home Air Cleaner & Jacuzzi,Entire home/apt,101,30,8,0.12
SunnyPrivate Spacious Flat wParking,Entire home/apt,89,30,145,1.66
Private room in ATX,Private room,234,1,0,
Spacious  Sunny Garden Oasis,Private room,70,3,190,2.19
The Best of Austin Right Outside of Your Door.,Entire home/apt,166,30,150,2.28
Space  Silence  and Social Distance in Woods Near Downtown,Entire home/apt,695,2,59,1.05
WOW Nirvana - Hot Tub  Bars  Brewery  Grocery,Entire home/apt,465,1,222,2.56
4BR Hill Country Home SXSW  ACL  F1,Entire home/apt,499,2,46,0.54
Cute 3/2 in Zilker,Entire home/apt,750,2,10,0.12
CHA CHA CHA!,Entire home/apt,375,3,134,1.67
2/1  private  palms and cacti,Entire home/apt,150,2,9,0.12
█ Single Malt Manor | Downtown Austin,Entire home/apt,1048,2,211,2.87
Swanky townhouse in heart of it all,Entire home/apt,120,2,86,0.99
Tarrytown Colonial Farmhouse with Resort Pool,Entire home/apt,1500,3,0,
Casita Verde,Entire home/apt,133,1,0,
The Zilker Hayloft - Guesthouse,Entire home/apt,251,2,70,0.8
Spacious Hyde Park Guest House,Entire home/apt,126,5,47,0.54
Stay and Enjoy The Austin Texas House South Congress,Entire home/apt,126,1,836,9.82
Zilker Barn - Near Downtown - 4 bed / 2 bath,Entire home/apt,393,4,4,0.05
Private and Sunny Zilker Cottage,Entire home/apt,82,2,287,3.45
Cenote Studio right downtown,Entire home/apt,97,1,398,4.57
Light-filled Loft near SoCo for Multi-Month lease,Entire home/apt,60,30,4,0.08
Guest House Manor Rd Austin SXSW,Entire home/apt,149,2,137,1.67
Cute apartment in central Austin!!,Entire home/apt,92,30,135,1.56
SXSW - AMAZING LOCATION,Private room,500,1,0,
eastside charm by the lake,Entire home/apt,285,1,3,0.06
The Argyle Suite/Loft on 4th Street,Entire home/apt,146,2,181,2.12
PERFECT SXSW 2/2 HOME! WALK TO MOST EVENTS!,Entire home/apt,116,3,24,0.3
Private room with private bath kitc,Private room,115,1,0,
Cozy  bright lofted studio,Entire home/apt,105,2,273,3.33
SXSW DEAL Rustic Downtown Cottage,Entire home/apt,425,1,1,0.01
Recharge at Casa Moderna Filled with Natural Light,Entire home/apt,172,3,156,1.83
Cute Studio Near SXSW,Entire home/apt,175,1,0,
Swim  Sun and Relax in this Bali-inspired Artist's Loft House in Austin,Entire home/apt,738,28,70,0.96
Modern 3-Story  Pool  Garden Living,Entire home/apt,325,3,64,0.75
South Lamar Zilker Cottage,Entire home/apt,86,3,206,2.52
SXSW & Barton Springs Haven!!,Entire home/apt,150,2,5,0.06
Little Longhorn - Walk to UT/Bass Hall/ St. Davids,Entire home/apt,166,30,20,0.3
1️⃣BLOCK to SoCo ★ Guest Cabana  Private w/Parking,Entire home/apt,171,1,126,1.64
Relax by the Pool & Spa at This Fun SoCo Oasis with Casita,Entire home/apt,464,1,197,2.28
Just listed for SXSW!,Entire home/apt,1100,3,0,
Modern 2BR in Historic Hyde Park,Entire home/apt,165,5,67,0.78
South Congress Dream House,Entire home/apt,242,2,28,0.33
Private room in Northwest Hills,Private room,100,1,8,0.09
Lovely 4/2 House Blocks to Downtown,Entire home/apt,424,2,139,1.84
Tropical Bungalow in Central Austin,Entire home/apt,314,3,3,0.13
Hamilton Pool Road Guest House,Entire home/apt,130,2,109,1.36
East Austin Cozy Getaway-walk to food  bars &trail,Entire home/apt,107,3,199,2.32
Bicycle bnb in South Central Austin,Entire home/apt,86,2,304,3.55
SXSW !!!  - Beautiful Westlake/Rollingwood Home,Entire home/apt,1650,5,0,
Elegant Home in Hipsterville,Entire home/apt,275,2,25,0.3
Treetop Bedroom  12 min from DT  behind preserve,Private room,150,1,2,0.03
Central Austin Luxury Loft - Completely Private,Private room,144,1,143,1.67
Charming Clarksville Apartment,Entire home/apt,650,5,0,
SOCO House w/ Private Outdoor Space,Entire home/apt,450,1,1,0.01
Tranquil Mid Century Modern Retreat  Neighbors Downtown,Entire home/apt,1086,3,28,0.35
Austin home w/ free WiFi/back patio/12-foot ceilings/full kitchen- near downtown,Entire home/apt,467,2,135,1.83
Delightful Hill Country Casetta,Private room,48,1,16,0.31
Cool Off in the Pool at This Zilker Park Oasis,Entire home/apt,678,2,101,1.49
Stunning home perfect for ACL or F1,Entire home/apt,1250,3,0,
1940's Hyde Park Bungalow,Entire home/apt,211,5,59,1.17
The Maya Star Suite!,Entire home/apt,166,1,30,0.37
Cheerful Townhome on South Congress with Pool!,Entire home/apt,140,28,8,0.1
Downtown Austin 1 bedroom Condo,Entire home/apt,100,30,41,0.5
ZIlker Park 1/1,Entire home/apt,125,2,65,0.87
Curl up in the Window Seat at a Colorful Modern Treehouse,Entire home/apt,149,3,121,1.42
Travis Heights Gem,Entire home/apt,174,2,146,1.73
sweet light & art-filled bungalow!,Entire home/apt,150,30,15,0.19
Bus Downtown And Walk to SoCo (REAL BED),Private room,68,2,15,0.27
Relocate to This South Congress Farmhouse Compound,Entire home/apt,228,30,3,0.05
Cozy Apartment on S. Mopac Expy,Entire home/apt,300,1,0,
DOWNTOWN  • FABULOUS THREE STORY TOWNHOUSE,Entire home/apt,204,30,36,0.42
Monstrosity Bungalow,Private room,41,30,97,1.14
Home Close to Downtown ATX with a Pool!,Entire home/apt,528,2,38,0.47
Cool Art Meets South Austin,Entire home/apt,65,31,0,
Charming 3 Bedroom House Downtown,Entire home/apt,291,7,35,0.45
2bd/2bth+whole house-3day+ONLY,Entire home/apt,193,3,16,0.19
Sunny  quiet eco-friendly bungalow,Private room,106,3,10,0.14
Private cottage near SXSW events,Entire home/apt,375,2,39,0.46
The Mandarin Suite on 4th Street,Entire home/apt,167,2,180,2.11
2-Room Suite Near Barton Springs & ACL Fest,Entire home/apt,78,2,191,2.23
Private Studio attached to House in Cherrywood,Entire home/apt,52,2,212,3.34
♥of Downtown w/free parking! Sleeps 10 in 7 beds!♥,Entire home/apt,284,180,142,1.73
2BR 2Bth Home in E. Austin for SXSW,Entire home/apt,750,1,0,
Zilker Bungalow next to Downtown!,Entire home/apt,206,2,72,0.99
The Downtown Austin Luxury Standard,Entire home/apt,262,2,157,1.85
Spacious townhouse perfect for SXSW,Private room,300,1,1,0.01
Large Home  Small Budget  7 Beds,Entire home/apt,249,90,104,1.33
Modern home near South Congress / Downtown,Entire home/apt,437,2,77,0.92
Art Oasis in East Austin  Minutes to Downtown,Entire home/apt,184,2,99,1.21
Artist's family house,Entire home/apt,264,2,24,0.3
Re-Imagined Historical Home  Most Walkable Area,Entire home/apt,647,3,11,0.14
Modern Garage Apt - Walk to ACL!!!,Entire home/apt,207,2,39,0.49
Spacious 2 Story Downtown Condo,Entire home/apt,650,3,7,0.09
Walk Everywhere in Hip E. Side + DT!,Entire home/apt,145,2,263,3.26
Cute & Fun Place to Stay (entire home an option)!,Private room,65,1,11,0.14
Luxurious Private Room in Condo,Private room,305,1,0,
Tonight Only!,Entire home/apt,450,1,0,
Lovely mid-century Austin home,Entire home/apt,150,30,20,0.24
Self Isolate Here! Extended Stay #1,Entire home/apt,149,45,28,0.34
A simple walk anywhere - Entire House Clarksville,Entire home/apt,405,2,69,1.65
Private 30 acre ranch  15 minutes to downtown.,Entire home/apt,1273,3,32,0.58
House Close to Everything! Great for SXSW and ACL!,Entire home/apt,289,3,9,0.12
Charming 2 Rm Suite in Barton Hills  South Lamar,Private room,100,2,7,0.09
Tarrytown Condo- Enfield road,Entire home/apt,329,1,0,
Condo Formula 1 Weekend Nov. 15-17,Entire home/apt,350,1,0,
House for SXSW 1 block to green belt,Entire home/apt,236,2,5,0.1
Furnished House in Tarrytown,Entire home/apt,190,1,84,1.04
Private home in Steiner Ranch,Private room,155,1,0,
Historic Bungalow-Style Cottage Near Downtown,Entire home/apt,113,2,349,4.12
Eastside Guest Studio near Lake,Entire home/apt,80,2,644,7.64
SOCO South Congress ATX Your Modern Guest House!!,Entire home/apt,133,2,343,4.12
Cute 2 Bdrm South Austin Bungalow!,Entire home/apt,182,90,51,0.61
Stunning downtown Austin loft,Entire home/apt,764,2,1,0.02
Waterfront Adventure on Lake Austin,Entire home/apt,234,2,77,2.08
Impeccable modern home,Entire home/apt,364,14,0,
Treehouse Apt. Cute Converted Attic -Deck-Comfy!,Entire home/apt,111,30,18,0.25
Eclectic hacienda or retro room/private bathroom,Private room,89,7,2,0.03
Entire Apt in Central ATX: 72 hours between guests,Entire home/apt,82,1,556,6.69
Good room for F1  5minutes to metro,Private room,150,1,0,
Spacious master in charming 2/2,Private room,70,2,7,0.1
Modern Upstairs Retreat #1 with Private Bathroom,Private room,52,2,54,0.73
East Austin Tiny Loft House,Entire home/apt,72,14,109,1.29
Modern  Lofted Cottage with Custom Woodwork in Central Atx,Entire home/apt,133,1,406,4.9
(MOTO GP) New Home in East Austin,Entire home/apt,121,2,2,0.04
Beautiful Cottage near Lake Travis,Entire home/apt,180,7,58,0.69
Picturesque Austin area Ranch Mtn Cabin | A+ Views,Entire home/apt,269,2,21,0.29
SXSW  pool  friendly hostesses!,Private room,179,2,3,0.04
Quiet Studio in North University,Entire home/apt,129,1,58,0.79
Tiny House Downtown - Cozy and Fun!,Entire home/apt,92,2,331,4.03
Cozy Value Space w/ Pool - 2 Bath - Minutes to DT,Entire home/apt,114,1,460,5.62
Updated Original Brentwood Home - Central Austin,Entire home/apt,296,5,9,0.11
3BR/3BA East Downtown House,Entire home/apt,975,3,5,0.07
Lovely Clarksville Neighborhood Home near Downtown,Entire home/apt,547,2,62,0.76
Sweet Central Suite!,Entire home/apt,81,30,193,2.4
Bouldin Creek Bungalow - Executive Rental!,Entire home/apt,279,3,7,0.09
ACL 700sf Apt on South Lamar 78704,Entire home/apt,123,2,3,0.04
Freshly Remodeled Private House in Central Austin,Entire home/apt,89,4,33,0.85
Safe Haven. Work  Child & Dog Friendly. Private Fenced Yard.,Entire home/apt,325,1,136,1.75
Green Bungalow! Great location  Walk Downtown!,Entire home/apt,107,4,46,0.92
Visit SoCo from a Spacious  Southern Luxury Home,Entire home/apt,689,2,78,0.99
Charming South Austin House,Private room,52,30,7,0.09
Huge 4 bedroom house  walk Downtown!,Entire home/apt,400,2,13,0.19
ACL | E 11th Modern Home | Eastside Artistic,Entire home/apt,590,2,2,0.02
Modern Upstairs Retreat #2 with Private Bath,Private room,50,2,49,0.65
Modern luxury   just a short drive from Downtown!,Entire home/apt,385,2,18,0.26
Modern Home in Zilker,Entire home/apt,2000,2,3,0.04
3br House South Congress 2 queen size beds SOCO,Entire home/apt,80,30,12,0.17
Master bed and bath in lovely home,Private room,100,30,1,0.05
Beautiful East Austin Bungalow,Entire home/apt,395,2,53,0.65
Sweet South Austin Modern Home,Entire home/apt,450,3,19,0.26
Spacious & Charming in Downtown ATX,Entire home/apt,500,2,229,3.11
LEASE: Gorgeous 2-Home Compound,Entire home/apt,5000,30,0,
Walk Downtown From the Swede Hill Chalet,Private room,60,2,0,
Modern Zen Oasis - Loft in the Canopy,Private room,95,2,26,0.32
Modern loft in the heart of E 6th,Entire home/apt,479,31,1,0.01
Beautiful Northwest Hills duplex,Entire home/apt,228,2,54,0.67
Luxury Apartment - Right in the Heart of SoCo,Entire home/apt,159,3,135,1.8
Awesome 3br 2.5 bath with huge yard,Entire home/apt,250,1,0,
Renovated Eastside Mid-Century Duplex,Entire home/apt,142,2,134,1.67
Cute SoCo condo available monthly,Entire home/apt,49,100,25,0.31
Classic Cabin in Heart of S. Austin,Entire home/apt,130,100,5,0.07
Peaceful Bungalow with Fenced Yard. Dog & Work Friendly.,Entire home/apt,192,1,195,2.48
Ridgeview,Entire home/apt,1501,5,2,0.04
Private room  mins from Zilker and the greenbelt,Private room,102,3,2,0.02
Private loft available for SXSW,Entire home/apt,700,2,0,
Private Zilker Studio with Free Bike Rental,Entire home/apt,101,2,178,2.91
Austin Waterfront Retreat,Entire home/apt,1200,3,5,0.07
2 Bdrm House. 10 min South of Dwntn,Entire home/apt,332,3,0,
Lake View with Hot Tub,Entire home/apt,339,30,144,1.77
Central Austin Urban Cottage-SXSW,Entire home/apt,200,3,1,0.02
SXSW 2014! House next to Zilker!,Entire home/apt,895,1,0,
Comfortable Central Apartment with Unique Austin Vibe Perfect for Long-term Stays,Entire home/apt,160,1,443,5.43
Cute Cottage Near Downtown & UT,Entire home/apt,279,90,74,0.92
Private & Spacious S.Austin Retreat,Entire home/apt,500,2,101,1.26
Private Entry 3 Blocks from East 6th,Private room,52,2,31,0.63
Downtown Condo,Entire home/apt,175,3,4,0.05
21st-Century Granny Flat in Heart of East Austin,Entire home/apt,76,1,503,6.18
Walk to 6th or S Congress! Studio,Entire home/apt,514,1,0,
Studio loft w/ private entry  balcony  full bath,Entire home/apt,120,2,24,0.43
Austin's Downtown Speakeasy Hotel,Entire home/apt,180,2,127,1.57
Modern S. Austin home 3 bed/2 bath,Entire home/apt,400,3,2,0.02
Sunny&Stunning East Austin/Downtown,Entire home/apt,459,2,52,0.7
1920's East Austin Cottage,Entire home/apt,167,1,181,2.25
East Austin clean/cozy/modern,Entire home/apt,400,4,3,0.04
Room w Queen Bed,Private room,164,2,0,
Modern Condo for SXSW 2016!!!,Entire home/apt,750,5,0,
Luxury Downtown Austin Apartment,Entire home/apt,175,1,35,0.44
Craftsman Luxury by Downtown!,Entire home/apt,129,1,12,0.15
Downtown Austin 40th for condo!!,Entire home/apt,1050,3,0,
Nice House in Great Hills!,Private room,99,1,0,
SOUTH AUSTIN HOME/3 Bed/Sleeps 6,Entire home/apt,300,4,0,
Peaceful Hill Country Escape For 5+,Entire home/apt,315,2,21,0.26
Clean Quiet Haven with Huge Fenced Yard  Fast Internet,Entire home/apt,207,1,79,0.99
3BR Bungalow - 1 mile from downtown,Entire home/apt,700,3,0,
Best Location in Austin!,Entire home/apt,1200,1,0,
East Austin home in Downtown/UT area.,Entire home/apt,332,4,0,
Perfect SXSW 2 Bed/2 Bath Rental,Entire home/apt,700,1,0,
Sweet East Austin Suite,Entire home/apt,99,2,207,2.57
SXSW fun big  4BR/3BA Austin House.  Sleeps 8!,Entire home/apt,1500,1,0,
Cute Cottage Minutes from Downtown,Entire home/apt,200,1,0,
SXSW House only 10 mins to Downtown,Entire home/apt,2500,5,0,
SXSW-Central/close to transit,Entire home/apt,500,4,0,
3/2 SXSW Condo in Central Austin,Entire home/apt,400,2,2,0.03
Walk to SoCo from a Stylish  Sunny  Mid-Century Retreat,Entire home/apt,308,1,119,1.55
South Austin SoCo Cottage - Walk to S Congress,Entire home/apt,94,2,397,4.9
Cozy 2 bdrm in Clarksville for SXSW,Entire home/apt,475,5,0,
Modern Zen Oasis - Bedroom 1,Private room,85,2,14,0.19
Large Eastside House sleeps 6,Entire home/apt,600,2,9,0.11
Artist's Pad in Travis Heights,Entire home/apt,91,4,69,0.86
Willow St Wungalow: East Austin,Entire home/apt,1000,2,9,0.15
Great location downtown for SXSW!,Entire home/apt,2000,4,0,
SWSX PERFECT Uptown Duplex,Entire home/apt,200,1,6,0.07
Modern Waterfront Apartment with Panoramic Lake Views,Entire home/apt,176,7,107,1.33
2BR/2Bth condo lux bldg heatd pool gym 2 car gar,Entire home/apt,289,180,3,0.04
3 bedroom Austin House,Entire home/apt,750,1,0,
Cozy & Bright Complex,Entire home/apt,80,2,10,1.03
Great SXSW condo- walk to Downtown!,Entire home/apt,490,1,0,
Private Summer Bedroom w/BR,Private room,150,2,1,0.01
Charming vintage cottage for SXSW,Entire home/apt,350,7,0,
Cozy bedroom for rent.,Private room,39,1,54,2.65
Hyde Park Studio for SXSW,Entire home/apt,139,2,0,
Spacious East Side Haven,Entire home/apt,400,3,0,
SXSW Home,Entire home/apt,275,3,7,0.09
Centrally Located Apartment with Kitchen & Laundry,Entire home/apt,89,2,118,1.46
New!! Cozy Space in Clarksville!,Entire home/apt,230,2,21,0.26
East Austin home walkable/bikeable to SXSW!,Entire home/apt,475,1,1,0.01
